sku,date,qty,amount,is_stockout_day
SK-1023,2026-06-01,14,218.15,0
SK-1023,2026-06-02,14,218.15,0
SK-1023,2026-06-03,14,218.15,0
SK-1023,2026-06-04,17,264.89,0
SK-1023,2026-06-05,14,218.15,0
SK-1023,2026-06-06,9,140.24,0
SK-1023,2026-06-07,16,249.31,0
SK-1023,2026-06-08,13,202.57,0
SK-1023,2026-06-09,14,218.15,0
SK-1023,2026-06-10,15,233.73,0
SK-1023,2026-06-11,15,233.73,0
SK-1023,2026-06-12,19,296.06,0
SK-1023,2026-06-13,17,264.89,0
SK-1023,2026-06-14,15,233.73,0
SK-1023,2026-06-15,12,186.98,0
SK-1023,2026-06-16,11,171.4,0
SK-1023,2026-06-17,15,233.73,0
SK-1023,2026-06-18,19,296.06,0
SK-1023,2026-06-19,15,233.73,0
SK-1023,2026-06-20,14,218.15,0
SK-1023,2026-06-21,16,249.31,0
SK-1023,2026-06-22,9,140.24,0
SK-1023,2026-06-23,13,202.57,0
SK-1023,2026-06-24,16,249.31,0
SK-1023,2026-06-25,18,280.48,0
SK-1023,2026-06-26,14,218.15,0
SK-1023,2026-06-27,16,249.31,0
SK-1023,2026-06-28,15,233.73,0
SK-1023,2026-06-29,17,264.89,0
SK-1023,2026-06-30,10,155.82,0
SK-1023,2026-07-01,17,264.89,0
SK-1023,2026-07-02,9,140.24,0
SK-1023,2026-07-03,5,77.91,0
SK-1023,2026-07-04,12,186.98,0
SK-1023,2026-07-05,11,171.4,0
SK-1023,2026-07-06,18,280.48,0
SK-1023,2026-07-07,17,264.89,0
SK-1023,2026-07-08,10,155.82,0
SK-1023,2026-07-09,18,280.48,0
SK-1023,2026-07-10,11,171.4,0
SK-1023,2026-07-11,14,218.15,0
SK-1023,2026-07-12,13,202.57,0
SK-1023,2026-07-13,15,233.73,0
SK-1023,2026-07-14,18,280.48,0
SK-1023,2026-07-15,17,264.89,0
SK-1023,2026-07-16,16,249.31,0
SK-1023,2026-07-17,17,264.89,0
SK-1023,2026-07-18,16,249.31,0
SK-1023,2026-07-19,12,186.98,0
SK-1023,2026-07-20,12,186.98,0
SK-1023,2026-07-21,13,202.57,0
SK-1023,2026-07-22,16,249.31,0
SK-1023,2026-07-23,14,218.15,0
SK-1023,2026-07-24,23,358.39,0
SK-1023,2026-07-25,11,171.4,0
SK-1023,2026-07-26,10,155.82,0
SK-1023,2026-07-27,17,264.89,0
SK-1023,2026-07-28,20,311.64,0
SK-1023,2026-07-29,16,249.31,0
SK-1023,2026-07-30,18,280.48,0
SK-1023,2026-07-31,20,311.64,0
SK-1023,2026-08-01,14,218.15,0
SK-1023,2026-08-02,9,140.24,0
SK-1023,2026-08-03,13,202.57,0
SK-1023,2026-08-04,18,280.48,0
SK-1023,2026-08-05,9,140.24,0
SK-1023,2026-08-06,15,233.73,0
SK-1023,2026-08-07,15,233.73,0
SK-1023,2026-08-08,13,202.57,0
SK-1023,2026-08-09,17,264.89,0
SK-1023,2026-08-10,20,311.64,0
SK-1023,2026-08-11,28,436.3,0
SK-1023,2026-08-12,20,311.64,0
SK-1023,2026-08-13,15,233.73,0
SK-1023,2026-08-14,15,233.73,0
SK-1023,2026-08-15,14,218.15,0
SK-1023,2026-08-16,22,342.8,0
SK-1023,2026-08-17,15,233.73,0
SK-1023,2026-08-18,17,264.89,0
SK-1023,2026-08-19,21,327.22,0
SK-1023,2026-08-20,14,218.15,0
SK-1023,2026-08-21,16,249.31,0
SK-1023,2026-08-22,9,140.24,0
SK-1023,2026-08-23,13,202.57,0
SK-1023,2026-08-24,15,233.73,0
SK-1023,2026-08-25,19,296.06,0
SK-1023,2026-08-26,23,358.39,0
SK-1023,2026-08-27,17,264.89,0
SK-1023,2026-08-28,19,296.06,0
SK-1023,2026-08-29,18,280.48,0
SK-1023,2026-08-30,22,342.8,0
SK-1023,2026-08-31,22,342.8,0
SK-1023,2026-09-01,19,296.06,0
SK-1023,2026-09-02,13,202.57,0
SK-1023,2026-09-03,22,342.8,0
SK-1023,2026-09-04,19,296.06,0
SK-1023,2026-09-05,23,358.39,0
SK-1023,2026-09-06,17,264.89,0
SK-1023,2026-09-07,26,405.13,0
SK-1023,2026-09-08,16,249.31,0
SK-1023,2025-11-20,32,498.62,0
SK-1023,2025-11-21,25,389.55,0
SK-1023,2025-11-22,22,342.8,0
SK-1023,2025-11-23,19,296.06,0
SK-1023,2025-11-24,24,373.97,0
SK-1023,2025-11-25,32,498.62,0
SK-1023,2025-11-26,29,451.88,0
SK-1023,2025-11-27,28,436.3,0
SK-1023,2025-11-28,13,202.57,0
SK-1023,2025-11-29,28,436.3,0
SK-1023,2025-11-30,27,420.71,0
SK-1023,2025-12-01,22,342.8,0
SK-1023,2025-12-02,21,327.22,0
SK-1023,2025-12-03,24,373.97,0
SK-1023,2025-12-04,33,514.21,0
SK-1023,2025-12-05,19,296.06,0
SK-4419,2026-06-01,4,117.21,0
SK-4419,2026-06-02,6,175.81,0
SK-4419,2026-06-03,4,117.21,0
SK-4419,2026-06-04,4,117.21,0
SK-4419,2026-06-05,5,146.51,0
SK-4419,2026-06-06,3,87.91,0
SK-4419,2026-06-07,5,146.51,0
SK-4419,2026-06-08,3,87.91,0
SK-4419,2026-06-09,6,175.81,0
SK-4419,2026-06-10,5,146.51,0
SK-4419,2026-06-11,7,205.11,0
SK-4419,2026-06-12,5,146.51,0
SK-4419,2026-06-13,6,175.81,0
SK-4419,2026-06-14,3,87.91,0
SK-4419,2026-06-15,4,117.21,0
SK-4419,2026-06-16,5,146.51,0
SK-4419,2026-06-17,7,205.11,0
SK-4419,2026-06-18,2,58.6,0
SK-4419,2026-06-19,6,175.81,0
SK-4419,2026-06-20,5,146.51,0
SK-4419,2026-06-21,6,175.81,0
SK-4419,2026-06-22,5,146.51,0
SK-4419,2026-06-23,5,146.51,0
SK-4419,2026-06-24,4,117.21,0
SK-4419,2026-06-25,3,87.91,0
SK-4419,2026-06-26,5,146.51,0
SK-4419,2026-06-27,4,117.21,0
SK-4419,2026-06-28,7,205.11,0
SK-4419,2026-06-29,4,117.21,0
SK-4419,2026-06-30,5,146.51,0
SK-4419,2026-07-01,3,87.91,0
SK-4419,2026-07-02,4,117.21,0
SK-4419,2026-07-03,5,146.51,0
SK-4419,2026-07-04,6,175.81,0
SK-4419,2026-07-05,6,175.81,0
SK-4419,2026-07-06,4,117.21,0
SK-4419,2026-07-07,3,87.91,0
SK-4419,2026-07-08,5,146.51,0
SK-4419,2026-07-09,5,146.51,0
SK-4419,2026-07-10,5,146.51,0
SK-4419,2026-07-11,4,117.21,0
SK-4419,2026-07-12,6,175.81,0
SK-4419,2026-07-13,5,146.51,0
SK-4419,2026-07-14,5,146.51,0
SK-4419,2026-07-15,6,175.81,0
SK-4419,2026-07-16,5,146.51,0
SK-4419,2026-07-17,5,146.51,0
SK-4419,2026-07-18,7,205.11,0
SK-4419,2026-07-19,5,146.51,0
SK-4419,2026-07-20,4,117.21,0
SK-4419,2026-07-21,5,146.51,0
SK-4419,2026-07-22,6,175.81,0
SK-4419,2026-07-23,5,146.51,0
SK-4419,2026-07-24,5,146.51,0
SK-4419,2026-07-25,6,175.81,0
SK-4419,2026-07-26,4,117.21,0
SK-4419,2026-07-27,2,58.6,0
SK-4419,2026-07-28,5,146.51,0
SK-4419,2026-07-29,5,146.51,0
SK-4419,2026-07-30,4,117.21,0
SK-4419,2026-07-31,6,175.81,0
SK-4419,2026-08-01,5,146.51,0
SK-4419,2026-08-02,3,87.91,0
SK-4419,2026-08-03,5,146.51,0
SK-4419,2026-08-04,4,117.21,0
SK-4419,2026-08-05,3,87.91,0
SK-4419,2026-08-06,5,146.51,0
SK-4419,2026-08-07,4,117.21,0
SK-4419,2026-08-08,4,117.21,0
SK-4419,2026-08-09,5,146.51,0
SK-4419,2026-08-10,6,175.81,0
SK-4419,2026-08-11,5,146.51,0
SK-4419,2026-08-12,6,175.81,0
SK-4419,2026-08-13,7,205.11,0
SK-4419,2026-08-14,4,117.21,0
SK-4419,2026-08-15,6,175.81,0
SK-4419,2026-08-16,6,175.81,0
SK-4419,2026-08-17,9,263.72,0
SK-4419,2026-08-18,3,87.91,0
SK-4419,2026-08-19,7,205.11,0
SK-4419,2026-08-20,5,146.51,0
SK-4419,2026-08-21,5,146.51,0
SK-4419,2026-08-22,8,234.42,0
SK-4419,2026-08-23,5,146.51,0
SK-4419,2026-08-24,9,263.72,0
SK-4419,2026-08-25,5,146.51,0
SK-4419,2026-08-26,6,175.81,0
SK-4419,2026-08-27,5,146.51,0
SK-4419,2026-08-28,4,117.21,0
SK-4419,2026-08-29,6,175.81,0
SK-4419,2026-08-30,5,146.51,0
SK-4419,2026-08-31,6,175.81,0
SK-4419,2026-09-01,2,58.6,0
SK-4419,2026-09-02,9,263.72,0
SK-4419,2026-09-03,5,146.51,0
SK-4419,2026-09-04,8,234.42,0
SK-4419,2026-09-05,4,117.21,0
SK-4419,2026-09-06,6,175.81,0
SK-4419,2026-09-07,10,293.02,0
SK-4419,2026-09-08,4,117.21,0
SK-4419,2025-11-20,5,146.51,0
SK-4419,2025-11-21,7,205.11,0
SK-4419,2025-11-22,8,234.42,0
SK-4419,2025-11-23,9,263.72,0
SK-4419,2025-11-24,10,293.02,0
SK-4419,2025-11-25,7,205.11,0
SK-4419,2025-11-26,5,146.51,0
SK-4419,2025-11-27,7,205.11,0
SK-4419,2025-11-28,9,263.72,0
SK-4419,2025-11-29,8,234.42,0
SK-4419,2025-11-30,4,117.21,0
SK-4419,2025-12-01,7,205.11,0
SK-4419,2025-12-02,10,293.02,0
SK-4419,2025-12-03,11,322.32,0
SK-4419,2025-12-04,8,234.42,0
SK-4419,2025-12-05,8,234.42,0
SK-3302,2026-06-01,4,96.04,0
SK-3302,2026-06-02,4,96.04,0
SK-3302,2026-06-03,6,144.06,0
SK-3302,2026-06-04,6,144.06,0
SK-3302,2026-06-05,6,144.06,0
SK-3302,2026-06-06,5,120.05,0
SK-3302,2026-06-07,4,96.04,0
SK-3302,2026-06-08,4,96.04,0
SK-3302,2026-06-09,4,96.04,0
SK-3302,2026-06-10,6,144.06,0
SK-3302,2026-06-11,2,48.02,0
SK-3302,2026-06-12,5,120.05,0
SK-3302,2026-06-13,6,144.06,0
SK-3302,2026-06-14,8,192.08,0
SK-3302,2026-06-15,6,144.06,0
SK-3302,2026-06-16,7,168.07,0
SK-3302,2026-06-17,5,120.05,0
SK-3302,2026-06-18,4,96.04,0
SK-3302,2026-06-19,4,96.04,0
