sku,date,qty,amount,is_stockout_day
SK-2087,2026-06-01,5,61.25,0
SK-2087,2026-06-02,4,49.0,0
SK-2087,2026-06-03,5,61.25,0
SK-2087,2026-06-04,9,110.25,0
SK-2087,2026-06-05,5,61.25,0
SK-2087,2026-06-06,4,49.0,0
SK-2087,2026-06-07,8,98.0,0
SK-2087,2026-06-08,7,85.75,0
SK-2087,2026-06-09,8,98.0,0
SK-2087,2026-06-10,9,110.25,0
SK-2087,2026-06-11,7,85.75,0
SK-2087,2026-06-12,5,61.25,0
SK-2087,2026-06-13,7,85.75,0
SK-2087,2026-06-14,9,110.25,0
SK-2087,2026-06-15,6,73.5,0
SK-2087,2026-06-16,5,61.25,0
SK-2087,2026-06-17,10,122.5,0
SK-2087,2026-06-18,7,85.75,0
SK-2087,2026-06-19,7,85.75,0
SK-2087,2026-06-20,8,98.0,0
SK-2087,2026-06-21,10,122.5,0
SK-2087,2026-06-22,8,98.0,0
SK-2087,2026-06-23,7,85.75,0
SK-2087,2026-06-24,9,110.25,0
SK-2087,2026-06-25,12,147.0,0
SK-2087,2026-06-26,10,122.5,0
SK-2087,2026-06-27,9,110.25,0
SK-2087,2026-06-28,5,61.25,0
SK-2087,2026-06-29,15,183.75,0
SK-2087,2026-06-30,5,61.25,0
SK-2087,2026-07-01,7,85.75,0
SK-2087,2026-07-02,6,73.5,0
SK-2087,2026-07-03,11,134.75,0
SK-2087,2026-07-04,8,98.0,0
SK-2087,2026-07-05,5,61.25,0
SK-2087,2026-07-06,8,98.0,0
SK-2087,2026-07-07,9,110.25,0
SK-2087,2026-07-08,7,85.75,0
SK-2087,2026-07-09,5,61.25,0
SK-2087,2026-07-10,6,73.5,0
SK-2087,2026-07-11,7,85.75,0
SK-2087,2026-07-12,8,98.0,0
SK-2087,2026-07-13,6,73.5,0
SK-2087,2026-07-14,9,110.25,0
SK-2087,2026-07-15,6,73.5,0
SK-2087,2026-07-16,4,49.0,0
SK-2087,2026-07-17,6,73.5,0
SK-2087,2026-07-18,10,122.5,0
SK-2087,2026-07-19,6,73.5,0
SK-2087,2026-07-20,12,147.0,0
SK-2087,2026-07-21,8,98.0,0
SK-2087,2026-07-22,5,61.25,0
SK-2087,2026-07-23,6,73.5,0
SK-2087,2026-07-24,8,98.0,0
SK-2087,2026-07-25,5,61.25,0
SK-2087,2026-07-26,12,147.0,0
SK-2087,2026-07-27,6,73.5,0
SK-2087,2026-07-28,9,110.25,0
SK-2087,2026-07-29,10,122.5,0
SK-2087,2026-07-30,7,85.75,0
SK-2087,2026-07-31,6,73.5,0
SK-2087,2026-08-01,7,85.75,0
SK-2087,2026-08-02,8,98.0,0
SK-2087,2026-08-03,9,110.25,0
SK-2087,2026-08-04,8,98.0,0
SK-2087,2026-08-05,5,61.25,0
SK-2087,2026-08-06,8,98.0,0
SK-2087,2026-08-07,6,73.5,0
SK-2087,2026-08-08,3,36.75,0
SK-2087,2026-08-09,6,73.5,0
SK-2087,2026-08-10,5,61.25,0
SK-2087,2026-08-11,10,122.5,0
SK-2087,2026-08-12,13,159.25,0
SK-2087,2026-08-13,13,159.25,0
SK-2087,2026-08-14,7,85.75,0
SK-2087,2026-08-15,7,85.75,0
SK-2087,2026-08-16,10,122.5,0
SK-2087,2026-08-17,11,134.75,0
SK-2087,2026-08-18,8,98.0,0
SK-2087,2026-08-19,8,98.0,0
SK-2087,2026-08-20,13,159.25,0
SK-2087,2026-08-21,8,98.0,0
SK-2087,2026-08-22,7,85.75,0
SK-2087,2026-08-23,9,110.25,0
SK-2087,2026-08-24,10,122.5,0
SK-2087,2026-08-25,6,73.5,0
SK-2087,2026-08-26,8,98.0,0
SK-2087,2026-08-27,6,73.5,0
SK-2087,2026-08-28,8,98.0,0
SK-2087,2026-08-29,13,159.25,0
SK-2087,2026-08-30,10,122.5,0
SK-2087,2026-08-31,8,98.0,0
SK-2087,2026-09-01,6,73.5,0
SK-2087,2026-09-02,8,98.0,0
SK-2087,2026-09-03,11,134.75,0
SK-2087,2026-09-04,7,85.75,0
SK-2087,2026-09-05,12,147.0,0
SK-2087,2026-09-06,5,61.25,0
SK-2087,2026-09-07,8,98.0,0
SK-2087,2026-09-08,12,147.0,0
SK-2087,2025-11-20,8,98.0,0
